year,recalls,amazon,amazonOnly,amazonOnlyCount,walmart,target,homeDepot,ebay,soldOnline,chinaAmazonOnly,chinaOthers,originCoverage
2004,278,0,0,0,5.8,4.3,4.3,0,5,,47.2,97.5
2005,323,0.3,0.3,1,4.6,3.7,2.2,0.3,4,100,48.7,98.1
2006,319,0.3,0.3,1,5.6,3.1,1.9,0,9.7,100,54.2,98.1
2007,452,0.2,0,0,4,5.1,1.5,0,10.6,,66.4,99.6
2008,392,0.8,0,0,5.6,3.1,2,0.3,17.1,,54,99.7
2009,383,2.3,0.8,3,8.1,5.2,2.6,0,18.8,66.7,56.8,100
2010,362,5,1.7,6,5.5,4.4,2.5,0.3,27.1,100,59.9,98.9
2011,313,8.3,2.6,8,5.4,7.7,3.2,0.3,38,62.5,61.1,99.4
2012,310,8.4,3.2,10,5.2,5.5,5.5,0.3,39,80,56,99.4
2013,290,16.6,7.6,22,4.1,5.5,3.4,1,57.9,77.3,61,99.7
2014,296,11.1,2.7,8,8.1,3.7,5.4,0.7,46.3,62.5,53.1,100
2015,305,14.8,5.2,16,6.9,4.6,5.6,0.3,50.2,81.3,54.2,99.7
2016,330,24.5,10,33,7,7.6,5.5,2.1,62.1,69.7,52.4,99.7
2017,280,23.9,9.6,27,8.6,8.6,3.9,0.4,59.3,77.8,46.2,100
2018,258,21.7,7.4,19,7,5.8,6.6,1.9,57.4,68.4,53.1,100
2019,241,19.9,8.7,21,6.6,5.8,2.5,4.6,58.1,66.7,47.5,99.6
2020,257,28.8,12.8,33,9.7,7,2.7,3.5,71.2,57.6,44.6,100
2021,219,34.2,13.7,30,12.8,5.5,5.5,5,71.7,70,54.3,98.6
2022,292,33.2,14.4,42,12.3,8.6,4.8,2.7,73.3,76.2,46.4,100
2023,324,38.3,20.7,67,12.3,8,7.4,3.1,75.3,80,47.3,99.1
2024,305,42.3,20.7,63,17.7,9.8,4.6,3.6,78,85.7,54.4,99.7
2025,420,51.2,31.9,134,15.7,5.7,4.3,2.1,74,86.6,64,100
2026,373,60.9,48.3,180,10.7,4.6,3.2,1.1,86.9,95.6,67.9,100
